text,label
"Schedule a meeting with the marketing team next Tuesday at 3 PM",Add
"Add dentist appointment for May 5th 10am",Add
"Remind me to call mom tomorrow evening",Add
"Change my 3 PM meeting to 4 PM",Edit
"Reschedule the project sync to Friday morning",Edit
"Move the team lunch scheduled for Wednesday",Edit
"Cancel my appointment on Wednesday",Remove
"Delete the reminder about the report submission",Remove
"Remove the event 'Doctor Checkup'",Remove
"Book a slot for the webinar next Monday at 11 AM EST",Add
"Put 'Team Standup' on the calendar for 9 AM every weekday",Add
"Need to add a haircut appointment for Saturday afternoon",Add
"Update the location for the client meeting to their office",Edit
"Shift the weekly review from 10 AM to 11 AM",Edit
"Can we move the brainstorming session to Thursday?",Edit
"Get rid of the 'Pay Bills' reminder for the 1st",Remove
"Erase the 'Gym Session' event for tomorrow morning",Remove
"Please cancel the reservation for Friday night",Remove
"Set up a meeting with HR for next Wednesday 2pm, remind me 1 hour before",Add
"Add 'Pick up dry cleaning' for this Friday after work",Add
"Create an event: 'Anniversary Dinner' on July 20th at 7 PM at Luigi's",Add
"Modify the 'Project Alpha' deadline to next Monday",Edit
"Adjust the time for the coffee chat to 9:30 AM",Edit
"Push the presentation rehearsal back by two hours",Edit
"Remove the 'Jogging' event from my schedule",Remove
"Delete the recurring meeting 'Budget Review'",Remove
"Cancel the flight booking confirmation event",Remove
"Schedule 'Performance Review' with Sarah for June 1st, 1 PM",Add
"Add reminder: 'Water plants' every Sunday morning",Add
"Book 'Yoga Class' for Tuesday 6 PM",Add
"Change the attendees for the 'Design Sync' meeting",Edit
"Reschedule my 1-on-1 with manager to tomorrow afternoon",Edit
"Move the 'Code Freeze' deadline event",Edit
"Cancel the 'Team Building Activity' for next month",Remove
"Delete the 'Follow up with client X' task",Remove
"Remove 'Volunteer Shift' from my calendar for this Saturday",Remove
"Set a reminder to buy groceries on Saturday morning",Add
"Add 'Doctor Appointment - Dr. Smith' for Aug 15th at 4 PM, location: 123 Health St.",Add
"Schedule a call with the support team for tomorrow 10:30 AM PST",Add
"Update the meeting notes link in the 'Project Kickoff' event",Edit
"Change the duration of the workshop from 2 hours to 3 hours",Edit
"Reschedule the interview scheduled for Thursday 11 AM",Edit
"Please remove the 'Book Club Meeting'",Remove
"Cancel the dentist check-up for next week",Remove
"Delete the 'Submit Timesheet' reminder",Remove
"Add 'Parent-Teacher Conference' for Nov 10th 5 PM",Add
"Put 'Pay Rent' on the calendar for the 1st of next month, notify me 2 days prior",Add
"Schedule 'Car Service' for next Friday morning",Add
"Move the 'Sprint Planning' meeting to Tuesday 9 AM",Edit
"Adjust the 'Client Demo' time slot",Edit
"Change the location of the team offsite",Edit
"Remove the 'Birthday Party' event",Remove
"Cancel the 'Online Course Session' for tonight",Remove
"Delete the 'Pick up prescription' reminder",Remove
"Book a meeting with the legal team sometime next week",Add
"Add 'Prepare presentation slides' task for Wednesday",Add
"Set up 'Lunch with Alex' for Thursday at 12:30 PM at The Corner Cafe",Add
"Update the description for the 'Product Launch Meeting'",Edit
"Reschedule the 'Training Session' to the week after next",Edit
"Shift my 'Focus Time' block from morning to afternoon",Edit
"Cancel the 'Weekend Trip Plan' event",Remove
"Remove the 'Clean the house' reminder",Remove
"Delete the 'Call insurance company' task",Remove
"Schedule 'Interview Candidate A' for Monday 3 PM, location: Zoom Link 123",Add
"Add 'Renew Gym Membership' reminder for end of month",Add
"Put 'Family Dinner' on the calendar for Sunday 6 PM",Add
"Change the 'All Hands Meeting' from monthly to quarterly",Edit
"Move the 'Design Review' earlier by an hour",Edit
"Update the conference call number for the 'Sales Sync'",Edit
"Cancel the 'Movie Night' plan",Remove
"Delete the 'Return Library Books' reminder",Remove
"Remove the 'Gardening' event for Saturday",Remove
"Add 'Team Retro' for Friday 4 PM",Add
"Schedule a 'Quick Sync' with Bob for tomorrow 11 AM",Add
"Book 'Hair Appointment' for next Saturday 1 PM",Add
"Reschedule the 'Client Follow-up Call'",Edit
"Change the date for the 'Office Potluck'",Edit
"Move the 'Database Maintenance' window",Edit
"Cancel the 'Game Night' event",Remove
"Delete the 'Check Mail' reminder",Remove
"Remove the 'Study Session' block for tonight",Remove
"Set up a 'Project Brainstorm' meeting for Wednesday afternoon",Add
"Add 'Buy Birthday Gift' task for this weekend",Add
"Schedule 'Coffee with Mentor' for next Tuesday 8 AM",Add
"Update the agenda for the 'Board Meeting'",Edit
"Shift the 'Deployment Window' to start later",Edit
"Reschedule the 'User Testing Session'",Edit
"Cancel the 'Charity Run' participation event",Remove
"Delete the 'Pay Credit Card Bill' reminder",Remove
"Remove the 'Meditation Time' from my daily schedule",Remove
"Add 'Final Exam Study Group' for Thursday 7 PM",Add
"Book 'Flight to London' event for Dec 5th",Add
"Schedule 'Performance Calibration' meeting next month",Add
"Change the 'Weekly Report Deadline' to EOD Friday",Edit
"Move the 'Product Demo' to accommodate the client's timezone",Edit
"Update the Zoom link for the 'Remote Team Sync'",Edit
"Cancel the 'Subscription Renewal' reminder event",Remove
"Delete the 'Plan Vacation' task",Remove
"Remove the 'Language Class' for Wednesday evening",Remove
"Add 'Prepare for Interview' block for tomorrow morning",Add
"Set reminder: 'Call Grandma' on Sunday",Add
"Schedule 'New Hire Onboarding' session for Monday 10 AM",Add
"Reschedule the 'Code Review' session",Edit
"Adjust the time for the 'Investor Update Call'",Edit
"Change the recurring 'Team Lunch' day from Friday to Thursday",Edit
"Cancel the 'Workshop Registration' event",Remove
"Delete the 'Water the plants' reminder",Remove
"Remove the 'Morning Run' event for tomorrow",Remove
"Add 'Client Pitch Rehearsal' for Tuesday 2 PM",Add
"Book 'Massage Appointment' for Friday 5 PM",Add
"Schedule 'Check-in with Project Manager' for Wednesday 9:30 AM",Add
"Update the location for the 'Company Picnic' event",Edit
"Move the 'Server Patching' schedule",Edit
"Reschedule the 'Financial Audit Meeting'",Edit
"Cancel the 'Book Signing Event'",Remove
"Delete the 'Charge Devices' reminder",Remove
"Remove the 'Write Blog Post' task",Remove
"Add 'Meet with Accountant' for April 10th 11 AM",Add
"Set up 'Kids Soccer Practice' reminder every Saturday 9 AM",Add
"Schedule 'Dentist Cleaning' for July 8th 3 PM",Add
"Change the title of the 'Weekly Sync' to 'Project Phoenix Sync'",Edit
"Shift the 'Happy Hour' event to start at 6 PM",Edit
"Update the attendees list for the 'Steering Committee Meeting'",Edit
"Cancel the 'Volunteer Training Session'",Remove
"Delete the 'Take out trash' reminder",Remove
"Remove the 'Yoga Class' event for this evening",Remove
"Add 'Submit Expense Report' deadline for end of week",Add
"Book 'Eye Exam' for next Monday afternoon",Add
"Schedule 'Interview Candidate B' for Friday 10 AM, location: Room 4B",Add
"Reschedule the 'Marketing Campaign Review'",Edit
"Move the 'System Upgrade' window to overnight",Edit
"Change the frequency of the 'Backup Reminder' to weekly",Edit
"Cancel the 'Art Class' enrollment",Remove
"Delete the 'Read Industry News' task",Remove
"Remove the 'Piano Lesson' for Thursday",Remove
"Add 'Final Project Due Date' for May 15th",Add
"Set reminder: 'Confirm Dinner Reservation' for Saturday",Add
"Schedule 'Quarterly Business Review' for next month's first Tuesday",Add
"Update the meeting description for 'Feature Planning'",Edit
"Adjust the 'Client Onboarding Call' time",Edit
"Reschedule the 'Team Photo Session'",Edit
"Cancel the 'Conference Call with Supplier'",Remove
"Delete the 'Update Resume' task",Remove
"Remove the 'Gym Workout' scheduled for 7 AM",Remove
"Add 'Staff Meeting' for tomorrow 9 AM in the main conference room",Add
"Book 'Weekend Getaway' placeholder for next month",Add
"Schedule 'Follow-up Email' task for Friday morning",Add
"Change the 'Project Kick-off' meeting to include the design team",Edit
"Move the 'Security Audit' date",Edit
"Update the Webex link for the 'Training Webinar'",Edit
"Cancel the 'Networking Event' registration",Remove
"Delete the 'Organize Files' reminder",Remove
"Remove the 'Book Club Meeting' from my calendar",Remove
"Add 'Oil Change Appointment' for Saturday 11 AM",Add
"Set up 'Call with Parents' for Sunday evening",Add
"Schedule 'Review Contract Draft' task for Wednesday",Add
"Reschedule my 'Doctor Follow-up' appointment",Edit
"Shift the 'Lunch Break' block later by 30 minutes",Edit
"Change the location for the 'Interview Debrief' to online",Edit
"Cancel the 'Team Dinner Reservation'",Remove
"Delete the 'Pay Utility Bill' reminder",Remove
"Remove the 'Morning Meditation' event",Remove
